ticker,bench,corr,beta,sig,print_sigma_pos,print_sigma_neg,dev_best_ranges,bench_best_ranges,time_best_peak_ranges,time_best_norm_ranges
AGI,GDX,0.98,0.99,2.0,0.04885,-0.0756,0.2–0.6,0.0–0.1;0.3–0.4;0.6–0.7;1.2–1.3;1.7;2.5;3.0,00:00–00:30;03:00–05:00;06:00–07:00;08:00–09:30,09:00
AGIO,SPY,0.59,0.75,1.86,-0.235215,-0.217742,0.3–0.4,0.0;0.2–0.3,,09:00
AGIQ,SPY,0.91,1.89,0.82,0.770488,0.10646350000000004,2.7,0.1,,09:00
AGIX,QQQ,0.92,1.14,0.86,0.403721,-0.329767,2.7,0.1,,09:00
AGM,XLF,0.73,0.88,0.84,0.227619,-0.797619,0.3;0.7,0.1;0.4,,09:00
AGMI,IWM,0.55,1.93,2.34,,,,,,
AGNCZ,NONE,0.24,0.19,0.55,,,,,,
AGNG,IWM,0.24,0.19,0.55,2.0203634999999998,-1.289636,,,,
AGQ,IWM,0.54,2.33,3.15,2.216762,-1.114381,0.2–0.5;0.9–1.1,0.0–0.1;0.6–0.7,00:00–01:30;02:30;03:30–04:00;05:00;06:30,06:30;07:30
AGX,SPY,0.91,3.19,2.19,1.612055,0.889589,2.7,0.0;0.2,03:30,09:00
AGYS,IWM,0.87,0.8,1.73,-0.073988,-0.154913,0.5,,,09:00
AHR,SPY,0.44,0.28,0.41,0.817561,-1.842927,0.8,0.0–0.1,01:00,09:00
AI,IWM,0.9,1.65,2.01,0.206965,-0.661443,0.2–0.9;1.1–1.2,0.0–0.6,00:00–01:00;02:00;03:00–09:30,07:00
AIA,QQQ,0.86,1.91,1.08,1.568426,-2.018056,1.0,0.4,,09:00
AIBU,QQQ,0.97,2.84,2.24,1.506964,-2.613214,2.7,0.0,01:30;02:30–09:30,09:00
AIEQ,SPY,0.95,0.96,0.49,,-0.565714,,,,
AIG,XLF,0.49,0.59,0.6,0.271167,-0.969167,0.5,0.0–0.1,,09:00
AIIA.U,NONE,0.82,0.85,0.58,,,,,,
AIO,SPY,0.82,0.85,0.58,0.894828,-0.324138,0.4;0.7,0.2,,09:00
AIP,SPY,0.83,2.69,3.4,0.622706,-0.325088,1.5,0.0–0.2;0.4,05:00,08:30–09:00
AIPI,QQQ,0.96,0.76,0.54,0.274815,-0.875556,0.6;0.8;1.2–1.3,0.0–0.2;0.4;0.6,02:30;06:30,09:00
AIPO,SPY,0.93,2.6,1.28,1.50625,-1.66875,2.7,0.0,05:30,09:00
AIQ,SPY,0.97,2.11,0.98,1.603061,-0.643776,0.7;1.1,0.0–0.1;0.3,00:00–00:30;03:00;07:00–09:30,09:00
AIR,IWM,0.83,0.82,1.02,0.382353,-0.107255,0.3,0.0,,09:00
