ticker,bench,corr,beta,sig,print_sigma_pos,print_sigma_neg,dev_best_ranges,bench_best_ranges,time_best_peak_ranges,time_best_norm_ranges
OILU,SPY,0.62,1.18,1.61,0.128944,-0.621739,0.3,0.2–0.4,03:30–09:30,09:00
OKE,XLE,0.93,1.02,0.59,0.159322,-0.232203,0.5–0.8,0.0–0.2;1.1,03:30–09:30,09:00
OKLL,QQQ,0.78,7.09,7.37,4.24749,-1.849539,2.7,0.0–0.4,00:00;01:00;04:00–05:30;07:30–08:00,08:30–09:00
OKLO,SPY,0.81,5.49,3.69,5.592818,-0.84561,0.2–0.5;0.9–1.1;2.2;2.6,0.0–0.3;0.5,00:00–00:30;01:30–05:30;06:30–07:00;08:00–09:30,09:00
OKTA,SPY,0.89,1.06,1.12,0.271607,-0.414286,0.2–0.6,0.0–0.3;0.6,00:00–01:00;02:00–03:30;07:00–09:30,08:30
OKTX,SPY,0.71,0.98,3.1,,,,,,
OLED,IWM,0.89,1.16,2.2,0.373455,-0.398,0.2,0.5,,09:00
OLLI,SPY,0.74,0.61,0.99,0.290101,-0.680707,0.3,0.1,,09:00
OLN,IWM,0.9,1.26,2.09,-0.408517,-1.153971,0.5;0.9,0.1–0.3,,09:00
OLO,NONE,0.93,1.65,3.99,,,,,,
OM,IWM,0.93,1.65,3.99,0.561278,0.155764,0.5,0.3,,09:00
OMAH,SPY,0.81,0.25,0.21,0.369048,-2.321429,0.3,0.0,03:30;04:30;05:30–09:30,09:00
OMC,IWM,0.62,0.37,0.53,0.47566,-0.538868,0.7,0.0–0.1;0.4,,09:00
OMCL,IWM,0.7,0.54,1.79,0.33743,-0.232179,0.2,,,09:00
OMDA,SPY,0.69,1.46,1.2,1.1945,-1.130833,0.7;2.7,0.1–0.3,03:30–09:30,09:00
OMF,SPY,0.85,1.22,0.95,0.026947,-0.650737,0.5;0.9,0.1–0.2,,09:00
ON,SOXL,0.9,0.32,1.42,1.250704,-3.300282,0.3–0.5;0.8,0.9,01:00–01:30;03:00;04:30;05:30–06:00;07:30;08:30–09:30,08:00
ONB,KRE,0.93,0.9,0.9,0.316667,-0.335556,0.2;0.5,0.1;0.5,,08:30
ONC,SPY,0.46,1.44,2.42,0.180826,-0.32,0.3,0.1,04:00,02:00;09:00
ONEQ,QQQ,0.99,1.14,0.68,0.007059,0.059118,0.2–0.3,0.0–0.2;0.4,00:00;04:00,07:00;08:00;09:00
ONLN,SPY,0.88,1.91,1.01,1.440099,-1.923663,,0.0,,
ONON,IWM,0.79,1.14,3.21,0.126355,-0.409969,0.2–0.3;0.5,0.0–0.1;0.3;0.7;1.3,00:00–00:30;03:00;05:30;07:00–09:30,09:00
ONTO,SOXL,0.94,0.47,2.43,0.502757,-1.533045,0.2,3.0,02:30;05:30–09:30,09:00
OOMA,IWM,0.83,0.62,0.96,0.855625,-0.563333,0.6,0.1–0.2;0.5,,09:00
OPCH,IWM,-0.07,0.03,1.58,0.232722,-0.414051,0.2,,,
OPEX,IWM,0.97,6.3,10.98,1.905191,0.698634,2.7,,,
OPFI,SPY,0.88,1.88,1.69,0.374438,-0.929941,1.1;1.4,0.2,03:00–03:30;06:30–09:30,09:00
OPPJ,IWM,0.4,0.48,1.38,0.582029,-0.382029,0.3,0.3,,
OPRA,QQQ,0.85,1.17,1.27,0.304331,-0.535827,1.7–1.8;2.7,0.0–0.2;0.4–0.6,00:00–02:00;03:00;08:00–09:30,09:00
OPRX,IWM,0.86,1.4,1.37,0.322628,0.416058,1.7;2.7,0.0–0.1;0.3;0.6,,09:00
OPXS,SPY,0.88,1.21,1.49,-0.187919,-1.034564,2.7,0.0,02:30–09:30,08:00;09:00
OR,GDX,0.97,0.76,1.54,0.315325,-0.619481,0.2–0.4,3.0,,08:30
ORA,SPY,0.86,1.21,0.89,0.883034,-0.293596,0.8,0.1–0.3,03:00;05:00–09:30,09:00
ORCL,SPY,0.87,1.92,4.27,0.282998,-0.964403,0.2–0.7,0.0–0.2,00:00;01:00;03:00;04:00–05:00;06:30–09:30,04:30;08:00–08:30
ORCX,SPY,0.75,4.12,8.43,0.613808,-2.278007,0.2–0.4;0.6;0.8;1.2;1.5,0.0–0.2,00:00–01:00;02:00;03:00;04:00–05:00;06:00–06:30;08:00–09:30,05:00;08:30
ORI,XLF,0.38,0.61,0.55,0.229455,-0.487636,0.6;0.9,0.0–0.2,,
ORKA,IWM,0.83,1.43,2.92,0.154041,-0.276301,0.3,0.0–0.1,,08:30
ORLA,GDX,0.95,1.01,2.28,0.014868,-0.235351,0.2–0.6;0.8,0.0;0.2;0.5;1.3;1.7;3.0,05:00–05:30;06:30–09:30,08:30–09:00
ORLY,IWM,-0.3,-0.03,0.51,1.397059,-0.65902,0.7–0.8;1.2,0.2–0.3,00:30;02:30–03:00,07:00
ORRF,KRE,0.88,0.74,0.56,0.700357,-1.113214,0.5,0.0;0.2–0.3;0.5,,09:00
OS,IWM,0.86,1.14,1.26,0.051905,0.199524,0.6;0.8;1.5;2.7,0.0–0.3;0.6,,09:00
OSBC,NONE,0.77,1.67,2.59,,,,,,
OSCR,IWM,0.77,1.67,2.59,0.299228,-0.909653,0.2–1.0;1.3,0.0–0.7,00:00–09:30,04:00;09:00
OSCX,SPY,0.7,5.47,6.35,-0.11811,-2.548693,2.7,0.0;0.2,04:00–09:30,09:00
OSIS,IWM,0.94,1.17,0.87,-0.185632,-0.50092,0.2;0.4;1.1,0.1,,09:00
OSK,IWM,0.89,0.92,0.96,0.4825,-0.896667,0.4;0.8,0.1;0.4,,09:00
OSPN,IWM,0.98,1.09,2.89,-0.038478,-0.064706,0.2,,,09:00
OSW,IWM,0.81,0.59,0.79,0.438987,-0.43443,0.7,0.2;0.5,,09:00
OTEX,SPY,0.8,1.21,0.76,0.209605,-0.248289,2.7,0.0;0.2,,09:00
OTF,SPY,0.57,0.77,0.66,-0.260909,-0.764242,0.6,0.1–0.2,,09:00
OTGA,NONE,0.34,0.3,0.58,,,,,,
OTIS,IWM,0.34,0.3,0.58,0.65,-0.512069,0.5–0.6,0.2–0.3,,08:30
OTLY,SPY,0.75,0.29,1.17,0.062137,-0.294017,0.2;0.4,0.0–0.1;0.3–0.4,,09:00
OTTR,IWM,0.65,0.29,0.37,2.170811,-0.194595,0.6;1.0,0.2,,
OUNZ,IWM,0.52,0.86,1.01,0.26099,-1.461386,0.2–0.5,0.0–0.3,04:30,07:00;08:30–09:00
OUST,IWM,0.89,3.46,2.95,3.029153,-3.175322,2.7,0.1–0.3,00:00–00:30;03:30;06:30–09:30,08:00;09:00
OUT,IWM,0.83,0.95,0.94,0.432979,-0.35266,0.4–0.5;1.1,0.0–0.2;0.4,,09:00
OVV,XLE,0.95,1.7,1.12,0.74375,-0.751786,0.8;1.4,0.0–0.1;0.3;0.6,,08:00
OWL,XLF,0.85,2.36,1.03,2.78835,-2.16466,2.1;2.7,0.0–0.5,03:30,09:00
OWLS,XLF,0.25,4.69,8.49,0.634464,-2.794405,2.7,,,09:00
OWNB,IWM,0.87,2.71,2.34,1.836624,-1.230085,2.7,0.0,,09:00
OXM,IWM,0.8,0.97,2.33,-0.182189,-0.387725,0.2;0.5,0.2,01:00–09:30,09:00
OXY,XLE,0.92,1.47,0.85,0.109882,-0.391529,0.2–0.4;0.6–0.9;1.4,0.0–0.2,00:00;01:00;02:00;04:30;05:30,09:00
OZEM,QQQ,0.33,0.51,0.85,1.094706,-0.292941,0.3,,,09:00
OZK,KRE,0.94,0.77,0.73,0.343425,-0.44274,0.2–0.5,0.2–0.4,,09:00
PAA,XLE,0.64,0.45,0.45,0.478889,-0.654444,2.7,0.6–0.7,01:30,09:00
PAAA,QQQ,-0.21,0.01,0.02,5.99,-49.705,2.7,0.1,,09:00
PAAS,GDX,0.97,1.17,2.24,0.227188,-0.247545,0.2–0.6;0.8,0.0–0.6;0.9–1.0;1.2–1.3;1.6;2.5,00:00;01:00–05:30;06:30–09:30,07:00;08:30
PAC,IWM,0.35,0.44,0.67,0.825075,-1.269851,0.8,0.3,,09:00
PACS,IWM,0.81,1.02,2.22,0.054775,-0.13964,0.2–0.3;0.8,0.2–0.4,05:00,09:00
PAG,IWM,0.45,0.25,0.86,0.343023,-0.537791,0.6,0.4,,09:00
PAGP,XLE,0.81,0.41,0.38,0.610526,-1.395263,1.3,0.2,,09:00
PAHC,IWM,0.78,0.56,2.33,0.183004,-0.163433,0.2,,,09:00
PALL,QQQ,0.33,0.82,1.87,0.321604,-1.015401,0.2–0.4,0.2;0.5;0.8,00:00–00:30;01:30–02:30;04:00–04:30;06:30;07:30–08:30,04:00;06:30;07:30–08:30
PALU,SPY,0.86,3.12,2.28,1.929825,-0.595614,2.7,0.0;0.2,,09:00
PAM,SPY,0.76,1.43,4.57,0.927768,-0.308796,0.3,0.0;0.2,,09:00
PANG,SPY,0.93,3.37,2.17,3.034101,-3.136359,2.7,0.0,,09:00
PANW,IWM,0.85,1.01,1.1,0.652455,-0.501545,0.2–0.7,0.0–0.4;0.6–0.7;1.3,00:00–03:30;06:30;07:30–09:30,03:00–03:30;07:00;09:00
PAR,IWM,0.86,1.23,1.63,0.126748,-0.171104,0.3;0.5,0.1;0.4,,08:30
PARR,XLE,0.85,1.98,1.4,1.379714,-1.127571,2.7,0.3,,09:00
PATH,SPY,0.8,2.13,3.27,0.744832,-1.257125,0.2–0.5;0.7;1.0,0.0–0.5,00:00–01:00;02:00–05:00;06:00–09:30,07:30
PATK,IWM,0.8,0.53,0.55,1.306545,-1.037273,0.7,0.2–0.3,,
PAVE,IWM,0.96,0.72,0.5,0.6576,-0.4344,0.4;0.7–0.8,0.1–0.2,04:00,09:00
PAX,SPY,0.83,1.39,0.93,0.651613,-0.384194,1.0,0.0,,09:00
PAY,XLF,0.81,1.42,2.28,0.254474,-0.295614,0.4,0.1–0.2,,09:00
PAYC,IWM,0.54,0.28,0.76,0.364737,-0.533158,0.6,0.2,03:30–09:30,09:00
PAYX,IWM,0.12,0.11,0.77,0.691299,-0.402597,0.4,0.3,03:30,08:30
PB,KRE,0.91,0.79,0.54,1.332963,-0.268333,0.6,0.2–0.3,,09:00
PBA,XLE,0.73,0.41,0.46,1.961087,-1.014565,0.7,0.6,,09:00
PBDC,SPY,0.78,0.34,0.3,-0.867333,-1.55,0.3,0.0,,09:00
PBF,XLE,0.84,1.76,1.45,0.655448,-1.426759,1.8,0.1;0.5;0.9,,09:00
PBH,IWM,0.17,0.0,0.51,1.0,-1.823529,0.5,0.2,,09:00
PBI,SPY,0.82,1.02,0.84,0.27881,-0.941667,0.6;0.9;1.1–1.2,0.1–0.4,01:00,09:00
PBPB,NONE,0.83,1.01,0.77,,,,,,
PBR,XLE,0.83,1.01,0.77,0.488312,-0.624545,0.2–0.5;0.7–0.8;1.3–1.4,0.1–0.3;0.8,03:30;05:30–06:00;07:00;08:00–09:30,09:00
PBR.A,SPY,0.8,0.78,0.74,0.703784,-0.337838,0.2–0.7;1.3,0.1;0.4;0.8,01:00–01:30;02:30;03:30–04:00;06:30–08:30,07:30
PBT,SPY,0.72,0.55,0.61,0.620492,-1.064754,0.3,0.0–0.1,,09:00
PBUS,SPY,0.99,1.14,0.5,-0.0124,-0.1824,0.4,0.1–0.2,,09:00
PBW,IWM,0.94,2.12,1.57,1.200255,0.649172,1.3,0.0;0.2;0.4,,09:00
PCAR,IWM,0.84,0.48,0.75,1.179733,-0.2352,0.2,0.1;0.3;0.6,01:00,08:00;09:00
PCB,NONE,0.55,0.33,0.51,,,,,,
PCG,IWM,0.55,0.33,0.51,0.905294,-0.484902,0.3–0.7;1.2,0.0–0.4,00:00;03:00;06:00–07:00,08:00–09:00
PCH,IWM,0.56,0.23,0.74,0.935676,-0.469189,0.5,0.0;0.3,,
PCN,SPY,0.52,0.21,0.29,0.477586,-1.811379,0.5,0.0,03:00–09:30,08:30–09:00
PCOR,SPY,0.89,1.42,1.34,0.914478,-0.751343,0.6,0.3,04:00–09:30,09:00
PCRX,SPY,0.36,0.05,0.67,0.891791,-0.80597,0.3;0.5,0.2,,09:00
PCT,IWM,0.94,1.89,2.72,0.27011,-1.111103,0.7;2.4,0.0–0.2,,09:00
PCTY,IWM,0.6,0.4,0.51,0.886275,-1.713725,0.9,0.1,,09:00
PCVX,IWM,0.68,0.72,0.89,0.449438,-0.319551,0.7–0.8,0.1–0.3,,09:00
PD,IWM,0.81,1.1,1.06,0.184906,0.046226,0.3–0.6;0.8;1.0;1.4,0.0–0.3;1.0,00:00;02:30;03:30–04:00,09:00
PDBC,QQQ,0.49,0.25,0.58,0.685345,-1.400862,0.3,0.0;0.2,06:00–09:30,09:00
PDD,KWEB,0.94,0.67,1.18,0.76839,-0.413136,0.2–0.4;0.6,0.0–0.1;0.3–0.4;0.6,00:00;01:00–03:30;06:00;08:00–08:30,04:00
PDDL,IWM,0.58,1.58,2.47,2.713117,-1.4385025,2.7,0.1,,
PDEX,SPY,0.66,0.1,1.93,0.418135,-0.424352,0.4,,,
PDFS,QQQ,0.92,1.47,1.68,0.59619,-1.108393,0.6,0.2;0.9,,09:00
PDI,SPY,0.79,0.44,0.39,0.37641,-0.966154,0.3;2.7,0.0,03:30;04:30;06:30–09:30,08:00–08:30
PDO,IWM,0.74,0.33,0.27,1.071111,-3.09,1.0,0.2–0.3,,09:00
PEBK,NONE,0.92,0.75,0.5,,,,,,
PEBO,KRE,0.92,0.75,0.5,0.945,-0.295,1.1,0.3,,09:00
PECO,IWM,0.31,0.11,0.58,0.723276,-0.747069,0.3–0.4,0.2,,
PEG,IWM,0.74,0.33,0.38,1.318684,-0.597105,,0.2;0.5,,09:00
PEGA,IWM,0.91,1.17,1.45,-0.081724,-0.390897,0.5;1.3,0.3–0.4,,09:00
PEN,IWM,0.3,0.12,2.02,0.370099,-0.580792,0.3,,,
PENG,SPY,0.88,1.69,2.54,-0.110236,-0.413465,0.4;0.6;1.2,0.0–0.1;0.3,,09:00
PENN,IWM,0.83,0.8,1.43,-0.276923,-0.446154,0.2–0.3;0.7–0.8,0.0–0.2;0.4–0.5,01:30;05:00–09:30,09:00
PEP,IWM,-0.25,0.01,0.88,0.442955,-1.060909,0.2–0.3,0.2–0.3,01:30;02:30;04:00;07:30–09:30,08:30
PERI,QQQ,0.84,0.64,1.32,0.241515,-0.459697,0.2;0.5–0.6,0.0;0.3,03:30,09:00
PESI,IWM,0.7,0.81,2.26,0.007655,-0.413142,0.8,0.3,03:00–09:30,09:00
PEY,IWM,0.81,0.37,0.35,1.153143,-0.513429,0.7;0.9,0.2,,09:00
PFBC,KRE,0.85,0.75,0.63,0.896825,0.035714,0.8,0.2,,
PFE,IWM,0.5,0.24,0.43,0.817674,-0.04093,0.2–0.9,0.0–0.2;0.4,00:00–05:30;06:30;07:30–08:00;09:00–09:30,03:00;07:30–08:00
PFF,SPY,0.89,0.34,0.17,2.442353,-3.891765,1.9,0.0–0.1,01:30;04:30,09:00
PFFA,SPY,0.8,0.36,0.21,0.478095,-2.417143,1.0,0.0,,09:00
PFFD,SPY,0.78,0.29,0.2,0.666,-3.3725,,0.0,,09:00
PFG,XLF,0.82,0.81,0.5,0.5358,0.7666,0.5,0.0–0.1;0.4–0.5,,09:00
PFGC,IWM,0.35,0.28,0.71,0.750423,-1.480563,0.3,0.2,,09:00
PFIS,XLF,0.81,1.39,0.79,0.586456,0.287468,1.2,0.0,,
PFIX,IWM,-0.24,-0.49,0.98,1.16602,-0.715918,0.9,0.1–0.2,,09:00
PFLT,SPY,0.81,0.56,0.47,0.428936,-1.28,0.4–0.6,0.0,02:30;05:00–09:30,09:00
PFSI,XLF,0.6,0.99,1.16,0.3525,-0.605,0.6,0.0,,
PFXF,QQQ,0.65,0.28,0.24,1.336667,-4.243333,,0.0,,09:00
PG,IWM,-0.43,-0.05,0.57,1.208772,-0.675439,0.3;0.6,0.1–0.3,03:00–03:30;07:00–09:30,08:00
PGJ,IWM,0.76,1.09,1.11,0.97045,-0.668018,0.8,0.2,,09:00
PGNY,SPY,0.73,0.49,1.96,0.218112,-0.329235,0.4,0.0,,09:00
PGR,XLF,0.33,0.59,0.88,0.449318,-0.291591,0.2;0.5,0.0;0.2–0.3,,09:00
PGX,SPY,0.6,0.2,0.22,2.354545,-1.372727,2.7,0.0,04:30,09:00
PGY,SPY,0.9,3.25,3.57,0.890056,-1.432773,0.3;0.5–0.7;0.9;1.5;2.1,0.0–0.3,00:00;01:00–01:30;02:30;04:00–05:00;06:00;07:30–09:30,09:00
PH,IWM,0.93,0.84,1.04,0.437692,-0.196923,0.2,0.1–0.3,03:30–09:30,09:00
PHAR,IWM,0.09,0.88,4.39,0.594351,-1.045923,,,,09:00
PHG,SPY,0.8,1.17,1.02,0.989608,-1.141765,0.3;0.5;2.7,0.1,02:30;04:00;05:00–09:30,09:00
PHI,IWM,0.31,0.16,0.65,1.007385,-0.554462,0.4,0.2–0.3,,09:00
PHIN,IWM,0.74,0.45,0.6,1.049167,-1.575833,0.7;1.8,0.2,,09:00
PHM,IWM,0.63,0.65,1.18,0.759746,-0.270339,0.3–0.4,0.0;0.2;0.4,03:30–04:00,08:30
PHO,IWM,0.91,0.38,0.39,1.491795,-0.863077,0.5;0.7,0.1,,09:00
PHR,SPY,0.84,1.01,1.14,-0.371754,-0.905175,0.8–0.9;1.3,0.0–0.1;0.3,,09:00
PHYS,IWM,0.51,0.76,1.03,0.656699,-0.918835,0.2–0.4,0.2;0.4,02:00;03:00;04:00–04:30;05:30,09:00
PI,SPY,0.91,2.17,1.9,0.837053,-1.966316,1.2;2.2,0.0–0.2,,09:00
PICK,IWM,0.79,0.97,0.92,0.1975,-0.315543,0.4,0.0;0.2,,09:00
PII,IWM,0.7,1.23,1.35,-0.536444,-1.091926,0.8;1.1–1.2,0.1,02:00–09:30,09:00
PIN,QQQ,0.39,0.45,0.58,1.181034,-1.355172,,0.2,,09:00
PINC,IWM,0.38,0.0,1.49,0.389262,-0.624161,0.3,0.5,,
PINE,SPY,0.54,0.54,0.49,0.915918,-1.626531,0.6;2.7,0.0–0.2,,09:00
PINS,SPY,0.88,1.83,2.68,0.286903,-1.693955,0.2–0.6;0.9–1.0,0.0–0.5,00:00;01:00;02:00–03:30;04:30;06:30–07:00;08:00–09:30,07:00;09:00
PIPR,SPY,0.87,1.56,0.84,0.488095,-0.277143,,0.2,,09:00
PJT,XLF,0.82,1.25,0.83,0.906627,0.292169,0.9,0.2–0.4,,09:00
PK,IWM,0.87,0.87,0.86,0.348837,-0.721163,0.3–0.7,0.4;0.6,03:30–04:00,09:00
PKE,IWM,0.89,0.79,0.67,-0.077313,-0.26597,2.7,0.1–0.2,,09:00
PKG,IWM,0.56,0.26,0.74,0.745676,-0.522432,0.4–0.5,0.2;0.4,,09:00
PKW,IWM,0.92,0.48,0.43,1.113488,-1.525581,0.4,0.6,,
PKX,SPY,0.47,0.76,1.62,0.765185,-0.814074,0.3,0.0,03:00,09:00
PLAB,SOXL,0.91,0.3,1.59,0.888679,-2.266667,0.6,3.0,04:00,09:00
PLAY,IWM,0.78,0.75,2.58,-0.043605,-0.196705,0.2–0.5,0.0–0.2,,09:00
PLD,IWM,0.65,0.44,0.57,0.838596,-0.30807,0.4,0.0;0.2,04:00–09:30,09:00
PLMR,XLF,0.62,0.65,0.63,0.953175,-1.076984,0.4,0.2,,
PLNT,IWM,0.74,0.49,1.69,0.64432,-0.579527,0.2,0.2,,09:00
PLOO,QQQ,0.68,1.11,2.17,0.045991,,,,,
PLPC,IWM,0.85,0.99,1.13,1.04292,0.151593,2.7,0.0;0.2,,09:00
PLSE,IWM,0.84,0.69,1.41,0.135887,-0.310922,0.7;2.7,0.2,,09:00
PLT,QQQ,0.77,2.44,6.46,1.114613,-1.358328,,,,
PLTA,QQQ,0.8,4.04,3.68,2.1457065,-1.1502175,,,,
PLTG,QQQ,0.85,3.33,3.43,1.233819,-0.968805,2.7,0.0–0.2,04:30,09:00
PLTI,QQQ,1.0,5.53,5.43,,,,,,
PLTM,QQQ,0.42,0.82,1.54,0.297922,-1.013377,0.2;0.6,0.3,01:00;02:00;05:00–06:30,08:00–08:30
PLTR,QQQ,0.89,1.78,1.66,1.784337,-0.442892,0.2–0.5;0.7;0.9;1.2,0.0–0.1;0.5,00:00–05:30;06:30–07:30;08:30–09:30,02:30;09:00
PLTS,IWM,0.22,-0.35,25.8,0.155659,-0.822093,,,,
PLTU,QQQ,0.87,3.61,3.39,1.726077,-1.064631,0.2–0.3;0.8;2.1;2.6,0.0–0.1;0.3;0.5,00:00–00:30;01:30;02:30;04:00–04:30;07:30;08:30,09:00
PLTW,QQQ,0.89,2.15,2.16,0.597222,-0.143519,1.2;1.7,0.0–0.2,02:00;03:00;04:00,09:00
PLTY,QQQ,0.87,1.24,1.45,0.62731,-0.825655,0.2–0.4;0.6–0.7;1.2,0.0–0.2;0.4,00:00–00:30;02:30;04:00;06:30–09:30,03:00;09:00
PLUS,IWM,0.87,0.53,0.69,0.652899,-0.793043,0.2,0.1,,09:00
PLXS,IWM,0.9,0.82,0.83,0.725542,-0.201687,0.7,0.1,,09:00
PLYM,SPY,0.57,0.28,6.29,1.1708745,-0.186264,,,,
PLYY,QQQ,0.63,0.8,1.25,0.5167999999999999,-1.0288,,,,09:00
PM,IWM,-0.38,-0.03,0.54,0.636852,-0.740926,0.4;0.6,0.2,03:30,07:00;09:00
PMMF,SPY,0.24,0.03,0.01,60.03,-47.9,2.7,0.0,,09:00
PMT,XLF,0.49,0.45,0.89,0.327528,-0.278652,0.5,0.1,,09:00
PMTS,SPY,0.73,0.81,2.21,0.336561,-0.266923,0.3,0.2,,09:00
PNC,XLF,0.89,1.28,0.59,-0.064407,-0.71322,0.6;0.8;2.7,0.0;0.2,,09:00
PNFP,KRE,0.87,0.6,0.52,0.634615,-0.607692,0.5,0.3,,
PNR,IWM,0.92,0.91,0.61,0.671967,-0.719508,0.6;0.8,0.0;0.3;0.5,,09:00
PNRG,XLE,0.74,1.4,1.18,0.184746,-0.010169,0.8;2.7,0.2,,
PNTG,IWM,0.58,0.38,0.74,0.67027,-0.858378,1.0,0.1,,09:00
PNW,IWM,-0.01,0.04,0.46,1.291304,-0.906087,0.6,0.2,,09:00
PODD,SPY,0.23,0.11,0.59,1.158136,-0.509661,0.2,0.1,,09:00
PONX,IWM,0.88,7.92,6.92,5.630578,-5.479827,2.7,0.0,,09:00
PONY,IWM,0.85,3.3,2.93,4.424915,-2.401024,0.4;0.8,0.0;0.2–0.3,00:00;01:00–02:00;03:30–05:00;06:30;08:00–08:30,09:00
POOL,IWM,0.65,0.33,0.59,1.024576,-0.592712,0.6,0.1,03:00–09:30,09:00
POR,IWM,0.22,0.04,0.38,1.230526,-2.437895,0.7,0.2–0.3,,09:00
POST,IWM,-0.39,-0.14,0.44,1.070909,-1.005,1.0,0.2,,09:00
POW,IWM,0.47,1.53,1.58,0.347089,,,,,
POWI,IWM,0.9,1.4,1.54,-0.377922,-1.083117,0.6;1.1,0.0;0.4,,09:00
POWL,IWM,0.91,2.08,1.67,1.10515,-0.148263,2.7,0.2,00:30;03:30–09:30,09:00
PPA,SPY,0.94,1.0,0.5,-0.28,-0.7,2.7,0.1;0.3,01:00;03:30,09:00
PPBI,NONE,-0.29,-0.13,0.59,,,,,,
PPC,IWM,-0.29,-0.13,0.59,0.497458,-1.675424,0.4,0.2,,
PPG,IWM,0.73,0.58,0.68,1.044706,-0.822647,0.6,0.0,,09:00
PPH,IWM,0.31,0.15,0.42,0.810714,0.105952,0.6,0.2,,09:00
PPIH,IWM,0.77,1.07,2.16,-0.091898,-0.12037,1.2,0.0;0.3,,09:00
PPL,XLE,0.11,-0.07,0.38,0.912632,-1.231579,2.2,0.3,,09:00
PPLT,QQQ,0.4,0.87,1.54,0.490325,-1.277208,0.2–0.3,0.0;0.2–0.3,00:00–01:00;02:00–03:00;06:00;07:30,08:00
PPTA,GDX,0.86,1.08,2.81,0.476157,-0.471174,0.2–0.8,0.0;0.2;0.4;0.6;1.2;3.0,00:00–01:30;03:30;05:30;06:30–09:30,09:00
PR,XLE,0.93,1.49,1.12,0.232411,-0.611786,1.3,0.4;0.6,,08:00;09:00
PRAA,XLF,0.71,0.94,0.76,-0.117368,-0.345789,1.1,0.0–0.3,,09:00
PRAX,SPY,0.56,1.53,21.81,0.264613,-0.656823,0.2,,01:30,08:00
PRCH,SPY,0.85,1.83,3.57,0.056471,-0.327591,0.4–0.6;0.8–1.0,0.0–0.3;0.5,04:00–09:30,09:00
PRCT,SPY,0.58,1.41,1.4,0.656429,-0.442571,0.6;0.8,0.0–0.3,00:00–00:30;02:00;03:00;05:00–09:30,09:00
PRDO,IWM,0.04,0.0,0.96,0.5625,-0.989583,0.2,0.2,,
PRG,IWM,0.79,0.58,0.62,0.533226,-0.649355,0.5,0.1–0.2;0.4–0.5;0.7,,09:00
PRGO,IWM,0.51,0.41,2.0,0.2465,-0.58375,0.4,,,09:00
PRGS,SPY,0.84,1.02,0.66,0.148788,0.176364,0.4;0.9;2.7,0.0–0.3,03:00–03:30,09:00
PRI,XLF,0.75,0.89,0.86,-0.084535,-0.600581,0.8,0.2,,09:00
PRIM,IWM,0.9,1.58,1.6,0.815,-0.83375,0.7;0.9,0.0;0.2,03:00–09:30,09:00
PRLB,SPY,0.92,1.37,0.74,1.578378,-0.555135,2.7,0.3,01:30–09:30,09:00
PRM,SPY,0.68,0.92,1.78,0.076629,-0.120225,0.6,0.0–0.1;0.3,,09:00
PRMB,IWM,-0.28,-0.15,2.23,0.377354,-0.462108,0.2;0.4,,,09:00
PRNT,QQQ,0.76,0.67,0.88,0.091023,-0.605568,0.4,0.0,,09:00
PRO,IWM,0.45,0.19,4.94,0.219109,-0.267794,0.2–0.3,,,
PRTC,QQQ,0.33,1.22,3.32,1.365181,-1.07006,,,,
PRU,XLF,0.93,1.23,0.49,0.266735,-1.086939,0.6–0.8,0.3–0.4,,09:00
PRVA,SPY,0.79,0.66,1.1,0.421455,-0.408364,0.7–0.8,0.4,,09:00
PSA,IWM,0.36,0.11,0.51,1.039412,-0.732745,0.5,0.1–0.3,,09:00
PSFE,SPY,0.85,2.35,2.87,-0.261324,-0.219164,1.0,0.0–0.2;0.4,03:00–09:30,09:00
PSI,QQQ,0.96,2.11,1.38,2.026014,0.468623,0.9,0.1,,08:30
PSIL,IWM,0.72,0.51,1.28,0.536328,-0.203125,,,,09:00
PSIX,IWM,0.92,2.75,4.37,1.077231,-1.125286,1.1;1.6,0.0;0.2–0.5,00:00–01:00;04:30;05:30,08:30
PSKY,IWM,0.75,0.57,1.12,0.237321,-0.525,0.2–0.7;1.0,0.0–0.1;0.3–0.6,03:00–04:00;05:30;06:30–07:00,09:00
PSLV,QQQ,0.53,1.04,1.45,1.095448,-0.724138,0.2;0.4,0.6,01:30–02:00;05:30,09:00
PSMT,IWM,0.73,0.39,0.55,0.617455,-1.026182,0.4;0.7;0.9;1.1,0.0,,
PSN,SPY,0.8,0.51,0.68,0.504265,-0.749118,2.7,0.0;0.2–0.3,02:30;03:30–09:30,08:00;09:00
PSO,KWEB,0.12,-0.03,1.08,0.986574,-0.886389,0.5,0.5,,09:00
PSQ,IWM,-0.91,-0.68,0.65,0.791385,-0.616,0.2–0.4,0.0–0.2;0.4,00:30;04:00;06:00;08:30–09:30,08:00
PSTG,QQQ,0.95,1.97,2.31,0.598442,-0.776494,0.3–0.4;0.7;1.0,0.0–0.3,00:00;01:30–02:00;03:30;07:00–09:30,08:30
PSX,XLE,0.89,1.11,0.68,0.593529,-1.556618,0.2;0.6;0.8;1.0,0.1–0.2;0.4–0.5,,09:00
PTC,SPY,0.87,0.95,0.61,0.728689,-1.097541,0.5–0.6,0.0;0.2,02:30–09:30,09:00
PTCT,IWM,0.52,0.61,0.82,0.527317,-0.390122,0.5,0.2;0.4,,09:00
